image_path,selection_order,distance_at_selection
datasets/train_on_2025_all\images\GX010665_MP4-0058_jpg.rf.5c0564a8e5c285db8301e4375735d605.jpg,1,0.7814010700283496
datasets/train_on_2025_all\val\images\GX010665_MP4-0216_jpg.rf.c85471c96f32f29a4552998a0bfef644.jpg,2,0.716202312214671
datasets/train_on_2025_all\images\frame_00075_jpg.rf.b107b6ee16660b3db586b8f6ebd09bc2.jpg,3,0.616096747190942
datasets/train_on_2025_all\images\GX010666_MP4-0318_jpg.rf.cc3401eab550f515237c4a149337f7c6.jpg,4,0.593168106856643
datasets/train_on_2025_all\images\frame_00092_jpg.rf.50af9ccb7b23d7c46f51719eecb59d92.jpg,5,0.5896231540886725
datasets/train_on_2025_all\images\frame_00121_jpg.rf.59d11ebbdabc1a39a7a4dd9fef0fbf7a.jpg,6,0.570328799217118
datasets/train_on_2025_all\images\GX010666_MP4-0023_jpg.rf.c4503222feffe11366cec7c3faf0e871.jpg,7,0.5693371366944846
datasets/train_on_2025_all\images\GX010665_MP4-0219_jpg.rf.f8f5dec2b39549188238cb8f2c12bd76.jpg,8,0.5637267108806875
datasets/train_on_2025_all\images\frame_00156_jpg.rf.fe3e3c7adb29b1d9031f8997b5050430.jpg,9,0.5355774184831339
datasets/train_on_2025_all\images\GX010666_MP4-0178_jpg.rf.d552a067f5d78ef0949e2259b0a93d21.jpg,10,0.5325530001599275
datasets/train_on_2025_all\val\images\frame_00108_jpg.rf.547d677e4d03df343ea35285be507920.jpg,11,0.5160338658402672
datasets/train_on_2025_all\images\frame_00130_jpg.rf.ff104f60aebfddfecbfe5a5b4f2eb169.jpg,12,0.514359474661373
datasets/train_on_2025_all\images\frame_00028_jpg.rf.ca671a6b78e864c17c1444fdf695dfb2.jpg,13,0.4975320899444847
datasets/train_on_2025_all\images\GX010666_MP4-0131_jpg.rf.6291ba1b5d270531bbcc5d8de8f0ad57.jpg,14,0.4941830926730153
datasets/train_on_2025_all\val\images\frame_00035_jpg.rf.9dc37fccda377dbb0af4263476b4c604.jpg,15,0.4914758641673423
datasets/train_on_2025_all\images\GX010666_MP4-0306_jpg.rf.510bdd4e207497a225938f10e6227a3c.jpg,16,0.48818067273205984
datasets/train_on_2025_all\images\frame_00079_jpg.rf.4ff520ddb3af10ad0b92b5954946d874.jpg,17,0.4865833724327107
datasets/train_on_2025_all\images\frame_00212_jpg.rf.1d1b2f52634e7452db6072bc283bc5cb.jpg,18,0.4811412605821842
datasets/train_on_2025_all\images\GX010667_MP4-0043_jpg.rf.a9851615b8188821fad580948a8b72ce.jpg,19,0.474528117542942
datasets/train_on_2025_all\images\frame_00135_jpg.rf.6c7f167fa13ebf875aa8ae86deb388ec.jpg,20,0.4745176344760732
datasets/train_on_2025_all\images\GX010665_MP4-0257_jpg.rf.807ed4e24728f0d1b080153c9b6e52e4.jpg,21,0.4688379760694742
datasets/train_on_2025_all\images\frame_00005_jpg.rf.ce60b95c400ab73280a4d974431fbdf8.jpg,22,0.46840495894859063
