epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.2529,1.22823,0.36846,0.07604,0.7714,1.19601,0.88625,0.90529,0.95261,0.61813,0.89276,0.91034,0.95673,0.93418,1.21393,0.23614,0.0479,0.72716,1.19073,0.000661692,0.000661692,0.000661692
2,64.5357,1.31862,0.33368,0.07423,0.81816,1.24134,0.90262,0.89936,0.94437,0.6056,0.90798,0.90759,0.94887,0.91672,1.21148,0.27757,0.05219,0.7195,1.21893,0.00129618,0.00129618,0.00129618
3,87.7694,1.34604,0.3893,0.08173,0.86389,1.28983,0.90472,0.90352,0.94183,0.59821,0.90673,0.91609,0.95631,0.92661,1.22201,0.24559,0.0609,0.73475,1.24355,0.00180642,0.00180642,0.00180642
4,111.042,1.38917,0.3429,0.09648,0.82895,1.31617,0.93311,0.89844,0.95861,0.61293,0.92903,0.90942,0.96757,0.94424,1.21981,0.22845,0.06386,0.68176,1.24105,0.00159191,0.00159191,0.00159191
5,134.647,1.31012,0.31344,0.07506,0.80095,1.26804,0.93441,0.91237,0.9607,0.62587,0.93609,0.93138,0.96714,0.94695,1.18478,0.23,0.05154,0.66241,1.21361,0.00131593,0.00131593,0.00131593
6,158.192,1.27423,0.31207,0.07779,0.74978,1.23749,0.93448,0.92132,0.96796,0.65196,0.93819,0.92498,0.97037,0.95825,1.16609,0.19256,0.04841,0.63007,1.19248,0.00101,0.00101,0.00101
7,181.781,1.21904,0.26878,0.06631,0.70616,1.23162,0.94358,0.94863,0.97654,0.67014,0.95086,0.95595,0.97936,0.96349,1.10553,0.19185,0.04594,0.6052,1.16187,0.000704073,0.000704073,0.000704073
8,205.485,1.16132,0.24804,0.06234,0.67238,1.18757,0.95256,0.94602,0.97854,0.68582,0.95489,0.94898,0.97976,0.96612,1.06788,0.18096,0.04512,0.57388,1.13451,0.000428093,0.000428093,0.000428093
9,229.097,1.11847,0.23833,0.05932,0.63139,1.16161,0.96484,0.95407,0.98092,0.70637,0.96765,0.95974,0.98224,0.97551,1.00338,0.1602,0.04107,0.54955,1.10954,0.000209073,0.000209073,0.000209073
10,252.81,1.08649,0.22042,0.05575,0.62177,1.14606,0.96661,0.95517,0.98186,0.70862,0.96864,0.96081,0.98305,0.97568,1.00053,0.15795,0.04066,0.54034,1.1069,6.8454e-05,6.8454e-05,6.8454e-05
