image_path,split
datasets\train_on_2025_all\val\images\frame_00017_jpg.rf.88f80d60ea9d3d22e4df78e942facb11.jpg,val
datasets\train_on_2025_all\val\images\frame_00038_jpg.rf.92aebc9f7c406273bffccf46b4784e97.jpg,val
datasets\train_on_2025_all\val\images\frame_00047_jpg.rf.433845c65c7fb3331ee9129330ba949d.jpg,val
datasets\train_on_2025_all\val\images\frame_00139_jpg.rf.58ddcb5b1ec512d1c2a6acbe9424923b.jpg,val
datasets\train_on_2025_all\val\images\frame_00151_jpg.rf.4fa3ab55fa088d05bb0b7ff1c5e01832.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0289_jpg.rf.c17c74f00c207e02c51cb4da6f45de6a.jpg,val
datasets\train_on_2025_all\images\frame_00005_jpg.rf.543091a76c30c92669719d24e52a4f95.jpg,train
datasets\train_on_2025_all\images\frame_00020_jpg.rf.d16cd44a8b1e63f465829c720fd37489.jpg,train
datasets\train_on_2025_all\images\frame_00021_jpg.rf.40c6cdeea8ec812ddb4e19eb77491a39.jpg,train
datasets\train_on_2025_all\images\frame_00074_jpg.rf.880e91bcfd8e5e8531e244a564b0b03c.jpg,train
datasets\train_on_2025_all\images\frame_00091_jpg.rf.974b6b31b7262170ed0c6352309f4189.jpg,train
datasets\train_on_2025_all\images\frame_00093_jpg.rf.9ae7647d2480453df9552d026bb6935a.jpg,train
datasets\train_on_2025_all\images\frame_00102_jpg.rf.b4b0d3c3cfd74f4d89150d2ce9d40ff8.jpg,train
datasets\train_on_2025_all\images\frame_00103_jpg.rf.ee0047dbd8ef27c3bc20335c85779a66.jpg,train
datasets\train_on_2025_all\images\frame_00105_jpg.rf.e6821fad66f51d2688d20d4e6091e6b0.jpg,train
datasets\train_on_2025_all\images\frame_00130_jpg.rf.7e1f78659c416a00eacd4d1af816b93b.jpg,train
datasets\train_on_2025_all\images\frame_00138_jpg.rf.df1dc8b2093db768918f09d7b2682aea.jpg,train
datasets\train_on_2025_all\images\frame_00157_jpg.rf.c1c6827fe70694ad8ea56921a0660ea6.jpg,train
datasets\train_on_2025_all\images\frame_00204_jpg.rf.d46cae2e7bedfb3a63f59c6c9c23d4ef.jpg,train
datasets\train_on_2025_all\images\frame_00215_jpg.rf.56d766035a9e61acf4cfac56f6db346b.jpg,train
datasets\train_on_2025_all\images\GX010664_MP4-0037_jpg.rf.7a6e3fca2b5a05cbd134cb4f05c54ee5.jpg,train
datasets\train_on_2025_all\images\GX010665_MP4-0021_jpg.rf.342f2f770b83c6e0a4ccc9a380ce386e.jpg,train
datasets\train_on_2025_all\images\GX010665_MP4-0116_jpg.rf.6c71b4a60f6d6e167fc5c3569c75a3e2.jpg,train
datasets\train_on_2025_all\images\GX010665_MP4-0201_jpg.rf.266d9807796e8adc4db498db5b95b35a.jpg,train
datasets\train_on_2025_all\images\GX010665_MP4-0206_jpg.rf.c60a8c2a59c20a76d85a19f6c6104e52.jpg,train
datasets\train_on_2025_all\images\GX010666_MP4-0045_jpg.rf.9dd6103a217a7bb8d9f04d3881890a9e.jpg,train
datasets\train_on_2025_all\images\GX010666_MP4-0161_jpg.rf.af237fdb0ea95cebd9938d5ec30d7be7.jpg,train
datasets\train_on_2025_all\images\GX010666_MP4-0169_jpg.rf.5f8256fad6bc897b78fecf90de26d28c.jpg,train
datasets\train_on_2025_all\images\GX010666_MP4-0261_jpg.rf.0817003c7fa79c04478d635e817b97a6.jpg,train
datasets\train_on_2025_all\images\GX010666_MP4-0271_jpg.rf.5c4149e5f182ba87d4712c371fa7354f.jpg,train
datasets\train_on_2025_all\images\GX010667_MP4-0017_jpg.rf.02ebd90617f9c5c2ad8c8ed0cc34534f.jpg,train
datasets\train_on_2025_all\images\GX010668_MP4-0035_jpg.rf.3f0c2e1b5ff20fae277c1d112cda3252.jpg,train
