image_path,selection_order,distance_at_selection
datasets/train_on_2025_all\images\frame_00078_jpg.rf.170475c7e1db5b5f4b519ff82454c636.jpg,1,0.9733978021692526
datasets/train_on_2025_all\val\images\GX010665_MP4-0216_jpg.rf.c85471c96f32f29a4552998a0bfef644.jpg,2,0.6915927568041887
datasets/train_on_2025_all\images\frame_00038_jpg.rf.0b82237344ce889f7f96dd083076cb8a.jpg,3,0.64433896711854
datasets/train_on_2025_all\images\GX010664_MP4-0032_jpg.rf.7b9ec0120ab540a3705d364f8916fc1c.jpg,4,0.6345684132869678
datasets/train_on_2025_all\images\frame_00212_jpg.rf.1d1b2f52634e7452db6072bc283bc5cb.jpg,5,0.5764041171449932
datasets/train_on_2025_all\images\frame_00076_jpg.rf.8150792c48a14f4a6093f6e78fbb90bd.jpg,6,0.5663976695674924
datasets/train_on_2025_all\images\GX010666_MP4-0318_jpg.rf.9afde6c6ff8161c779b7aa014c630577.jpg,7,0.5457382374063509
datasets/train_on_2025_all\images\frame_00028_jpg.rf.ca671a6b78e864c17c1444fdf695dfb2.jpg,8,0.5408002869324553
datasets/train_on_2025_all\images\frame_00045_jpg.rf.0b2ed76f2bb110714d0b57d70ff83131.jpg,9,0.5315122179326206
datasets/train_on_2025_all\images\frame_00038_jpg.rf.9b85f4e7fa2ffb3ae4ee0c83ccf10172.jpg,10,0.5253433553743321
datasets/train_on_2025_all\val\images\GX010665_MP4-0256_jpg.rf.347aefc78a4b4e49222993bd4c07411e.jpg,11,0.5236323945479338
datasets/train_on_2025_all\images\GX010666_MP4-0126_jpg.rf.30f96019850c0c2e4efc0317b535a06a.jpg,12,0.514359474661373
datasets/train_on_2025_all\images\frame_00092_jpg.rf.50af9ccb7b23d7c46f51719eecb59d92.jpg,13,0.5092787316013536
datasets/train_on_2025_all\images\frame_00084_jpg.rf.2d8bc5b60c7b933ca2353a4c9a6711b9.jpg,14,0.5011259357743024
datasets/train_on_2025_all\val\images\GX010665_MP4-0112_jpg.rf.522599c368b90b249eb4c5cc0e82e090.jpg,15,0.5003329616909112
datasets/train_on_2025_all\images\frame_00086_jpg.rf.38d25f6e9238641c8f3f68a1dcd0feba.jpg,16,0.4895798496402926
datasets/train_on_2025_all\images\frame_00029_jpg.rf.01d4917ca9fe101312efab0668e7a4e9.jpg,17,0.48426950916674283
datasets/train_on_2025_all\images\frame_00013_jpg.rf.3cfbf60c3b10c9fb572307cdefb596fe.jpg,18,0.4818312349011609
datasets/train_on_2025_all\images\frame_00093_jpg.rf.ef88df0205a9e04078fbea973180aabb.jpg,19,0.4771713413130386
datasets/train_on_2025_all\images\frame_00017_jpg.rf.af5669c1e03e8911783bbead0f991dd5.jpg,20,0.4745736418943589
datasets/train_on_2025_all\images\frame_00116_jpg.rf.9e1618cbc68b1e859eb80415375c8baa.jpg,21,0.47328945295271474
datasets/train_on_2025_all\val\images\frame_00134_jpg.rf.243ac01151e3061ea4ba5f8804f7db28.jpg,22,0.47132746472094716
datasets/train_on_2025_all\images\frame_00085_jpg.rf.f2f0bb961fb7a62c4d472356c8f06666.jpg,23,0.46957263949906974
datasets/train_on_2025_all\images\GX010664_MP4-0039_jpg.rf.840a996794fed1b8fbdd925a358ef3ee.jpg,24,0.4684117850063096
datasets/train_on_2025_all\val\images\GX010666_MP4-0176_jpg.rf.d62f481b3eb74866ba772dbbdbfd9f7e.jpg,25,0.4550070776586091
datasets/train_on_2025_all\images\frame_00060_jpg.rf.a91ec4db5757544e0960e57b52e822bf.jpg,26,0.4527258034286944
datasets/train_on_2025_all\images\GX010666_MP4-0182_jpg.rf.e209c20c67968a60f584769f6495a501.jpg,27,0.4521182122669394
datasets/train_on_2025_all\images\GX010666_MP4-0306_jpg.rf.86fa0ac0caf195213ce0fae4faa896ea.jpg,28,0.45165748630688796
datasets/train_on_2025_all\images\GX010666_MP4-0282_jpg.rf.6f6b4eabdf6c36c15d9f50db6559e724.jpg,29,0.451130538203574
datasets/train_on_2025_all\images\frame_00052_jpg.rf.de6d9bc3a82476c22bbce64a3930a770.jpg,30,0.44796533750953466
datasets/train_on_2025_all\images\frame_00042_jpg.rf.753ae542b943c4548cfa1c1946e44bab.jpg,31,0.44707320617861773
datasets/train_on_2025_all\images\frame_00079_jpg.rf.b172400bbe24d9234b12f6e2e4a91065.jpg,32,0.44632918761521406
datasets/train_on_2025_all\val\images\frame_00022_jpg.rf.065eb516b074d3d3f970d92b5bc8e3a4.jpg,33,0.4460552825405165
datasets/train_on_2025_all\val\images\frame_00115_jpg.rf.b924b162ac6747db94ad9a609d63fe9f.jpg,34,0.44493331585814266
datasets/train_on_2025_all\images\frame_00081_jpg.rf.13f8db609066cca65ce15b6cbd9ae591.jpg,35,0.44410211165764873
datasets/train_on_2025_all\images\frame_00063_jpg.rf.4d8a9e0d577254ecd869044adbc435d8.jpg,36,0.4434292772687285
datasets/train_on_2025_all\images\frame_00108_jpg.rf.75a6d29f4ca6297ddb6dc68469f61cf7.jpg,37,0.4406561927434435
datasets/train_on_2025_all\images\frame_00037_jpg.rf.a984f285d5a95f79aecb04db41693455.jpg,38,0.44050429758189347
datasets/train_on_2025_all\images\GX010665_MP4-0134_jpg.rf.22645c83f16ad0fab3c00559ae4ce7a0.jpg,39,0.4362575754589978
datasets/train_on_2025_all\images\frame_00047_jpg.rf.19beaf312e62be29bf7d4c3cd171c961.jpg,40,0.433495265347498
datasets/train_on_2025_all\images\frame_00007_jpg.rf.2c644dbeadfda868a6c6d6ca5c29f6eb.jpg,41,0.4317593250484573
datasets/train_on_2025_all\images\frame_00075_jpg.rf.1a4818da34cacee1cfa1fb3faabfebcd.jpg,42,0.4315095131951659
datasets/train_on_2025_all\images\frame_00231_jpg.rf.1deda93eb09388ff73ff404a6dc00997.jpg,43,0.42932501277451784
datasets/train_on_2025_all\images\frame_00015_jpg.rf.6a773fa8d4718b2424325a1ef0685270.jpg,44,0.42618236549812416
datasets/train_on_2025_all\images\GX010665_MP4-0023_jpg.rf.f67a6efbe1eefa463baaba82ed22f471.jpg,45,0.4226991397258533
datasets/train_on_2025_all\val\images\frame_00078_jpg.rf.2533274afcc6ebb0be9ab8b55f738016.jpg,46,0.42237091784859987
datasets/train_on_2025_all\images\frame_00140_jpg.rf.f0cae0fff7dc8d7073d1971e0dd8abab.jpg,47,0.41882218167916113
datasets/train_on_2025_all\images\GX010664_MP4-0055_jpg.rf.b7b7b2b43763f005b106eb811db0522f.jpg,48,0.4169827365534926
datasets/train_on_2025_all\images\GX010667_MP4-0043_jpg.rf.2b629a651c77459c4793ec386bdee9e8.jpg,49,0.41513588947209834
datasets/train_on_2025_all\images\frame_00088_jpg.rf.085d0c06516a6ac9948d7104b0a7faee.jpg,50,0.4142351788844021
datasets/train_on_2025_all\images\GX010665_MP4-0240_jpg.rf.16f9723f81df2760ba2a16ceb956d37b.jpg,51,0.41276486435242865
datasets/train_on_2025_all\images\frame_00036_jpg.rf.415399e5e1dfc6c6dfaef042bc48d9e9.jpg,52,0.41239097232252453
datasets/train_on_2025_all\val\images\frame_00166_jpg.rf.bcd08ef701bd176e14af51da16a1a659.jpg,53,0.4107590609458856
datasets/train_on_2025_all\images\frame_00095_jpg.rf.bba0cc34425cbd919b74e3322c8695d5.jpg,54,0.40960260998654846
datasets/train_on_2025_all\images\GX010666_MP4-0217_jpg.rf.c0a275675fb869b3a67b6ea9948d3c4c.jpg,55,0.4091253554565602
datasets/train_on_2025_all\images\GX010664_MP4-0071_jpg.rf.0cdba322b70fbf5c849076d8a352855a.jpg,56,0.40429689386063195
datasets/train_on_2025_all\images\GX010666_MP4-0021_jpg.rf.30c1cd81b0c1c1b7d3c98202b1169668.jpg,57,0.4039875290253142
datasets/train_on_2025_all\images\GX010666_MP4-0087_jpg.rf.fde8318ddef6f1508df32ed68db23926.jpg,58,0.40283558594902547
datasets/train_on_2025_all\val\images\frame_00075_jpg.rf.69737e70b8d9fefd3042813a56d99204.jpg,59,0.40246415020296034
datasets/train_on_2025_all\images\frame_00024_jpg.rf.ebc70daf1fc619aacc8c6252b65d0986.jpg,60,0.4007046657856921
datasets/train_on_2025_all\images\frame_00129_jpg.rf.3f0ddf4fcaa5c0bdcf8b1b5fc2fbfac3.jpg,61,0.4005466236058003
datasets/train_on_2025_all\images\frame_00080_jpg.rf.4db069dc879101cec5e3458542ce7731.jpg,62,0.3982862894977618
datasets/train_on_2025_all\val\images\frame_00087_jpg.rf.2273da68fbc6530498bbf110cf5cf414.jpg,63,0.39563310203501756
datasets/train_on_2025_all\images\frame_00069_jpg.rf.6dcacf50b049b0c3eab8e1c6a11e718e.jpg,64,0.3955985378675738
datasets/train_on_2025_all\images\GX010665_MP4-0267_jpg.rf.7167bfe5c8551f18b592897b9d2f8a50.jpg,65,0.3951115016972322
datasets/train_on_2025_all\images\frame_00035_jpg.rf.69889312eec1fe90b15bef6edae0b542.jpg,66,0.39448545354458875
datasets/train_on_2025_all\images\GX010665_MP4-0022_jpg.rf.cf220d12d0bfe3a2cdffa30b9adff42b.jpg,67,0.3916765763372514
datasets/train_on_2025_all\images\GX010665_MP4-0218_jpg.rf.ed042a0f0a6bf65f2bc8c0733add61b4.jpg,68,0.3913410066438194
datasets/train_on_2025_all\images\GX010668_MP4-0020_jpg.rf.25733a8da806e157af0a70fcfd1964eb.jpg,69,0.3900969162734677
datasets/train_on_2025_all\images\GX010664_MP4-0102_jpg.rf.b08312a2a6beb58d484a463e114e90f0.jpg,70,0.38912451621641425
datasets/train_on_2025_all\images\frame_00155_jpg.rf.42881d7850883c18c8faa76c84561604.jpg,71,0.38847159670537473
datasets/train_on_2025_all\images\frame_00016_jpg.rf.f10e1d271453f680ef83a085acc37925.jpg,72,0.38846366187594306
datasets/train_on_2025_all\images\frame_00082_jpg.rf.9920e1bedaa7dd9207dc7f087f0a1ced.jpg,73,0.3870457900450217
datasets/train_on_2025_all\images\frame_00025_jpg.rf.3e6b53ba9b091caffd74a4d4cb245b00.jpg,74,0.38596238999706617
datasets/train_on_2025_all\val\images\frame_00011_jpg.rf.586fe9ab3171294332bc8ce0e6b1cb1a.jpg,75,0.3858876946274058
datasets/train_on_2025_all\images\frame_00023_jpg.rf.41ff1bc2341bd137102db1018d38aef9.jpg,76,0.38573362816958034
datasets/train_on_2025_all\images\frame_00075_jpg.rf.fd35b395368da65490deb8833e478cdc.jpg,77,0.38539383770584723
datasets/train_on_2025_all\val\images\GX010668_MP4-0055_jpg.rf.cb5bc2ad064c6ff2da627700a01f39af.jpg,78,0.38453059116769556
datasets/train_on_2025_all\images\frame_00156_jpg.rf.a5edf66ee9a2127f3be2684e3fb6b0b7.jpg,79,0.3845113377945367
datasets/train_on_2025_all\val\images\frame_00041_jpg.rf.c50393c73c5d79de220ee44337c72edd.jpg,80,0.384259235752535
