image_path,split
datasets\train_on_2025_all\val\images\frame_00004_jpg.rf.88a65a3b251ebff973f73b2782f22d3b.jpg,val
datasets\train_on_2025_all\val\images\frame_00007_jpg.rf.98b43a30c9d05e540703295926d96fa2.jpg,val
datasets\train_on_2025_all\val\images\frame_00010_jpg.rf.6e98efa4336499cec7220a1ea4f51422.jpg,val
datasets\train_on_2025_all\val\images\frame_00010_jpg.rf.9c2aa8c33a641e16d49602091aac8559.jpg,val
datasets\train_on_2025_all\val\images\frame_00013_jpg.rf.de154efb15418cdd924e3d5402fe9577.jpg,val
datasets\train_on_2025_all\val\images\frame_00013_jpg.rf.e45c961a193811f5837d1601e4b6f9f5.jpg,val
datasets\train_on_2025_all\val\images\frame_00014_jpg.rf.1a317d65cf64a09942edac87f4f0346d.jpg,val
datasets\train_on_2025_all\val\images\frame_00017_jpg.rf.0f4891f6d26b8ee34867380c79557e2b.jpg,val
datasets\train_on_2025_all\val\images\frame_00017_jpg.rf.4caa4bdc028ec295e4a6581f33b71ded.jpg,val
datasets\train_on_2025_all\val\images\frame_00017_jpg.rf.ae00ccaec1b6b8170570cd8bfbc676ba.jpg,val
datasets\train_on_2025_all\val\images\frame_00019_jpg.rf.10e6b4bb62d98429999bdb4ae0ae77dd.jpg,val
datasets\train_on_2025_all\val\images\frame_00021_jpg.rf.f1be329a07d7ab6c14a91b16d41cfb84.jpg,val
datasets\train_on_2025_all\val\images\frame_00022_jpg.rf.7c6cfbb8e80256baaeee61abd7ab8c63.jpg,val
datasets\train_on_2025_all\val\images\frame_00027_jpg.rf.877aa00f6d1ccf96407372d955a6c6fa.jpg,val
datasets\train_on_2025_all\val\images\frame_00029_jpg.rf.168b1fd4d5133a42821fdf083ca165c4.jpg,val
datasets\train_on_2025_all\val\images\frame_00030_jpg.rf.3b4ff49d4f601b7babc9f08844f90c86.jpg,val
datasets\train_on_2025_all\val\images\frame_00031_jpg.rf.d10f5e4dc5f70cf6fb89c7538d1c9634.jpg,val
datasets\train_on_2025_all\val\images\frame_00032_jpg.rf.f51b4d759fb56cda0d27e431a37fd0c0.jpg,val
datasets\train_on_2025_all\val\images\frame_00039_jpg.rf.70030802aadc30a609408af461aa5968.jpg,val
datasets\train_on_2025_all\val\images\frame_00040_jpg.rf.ae7ba2eb3702ebcbcf954db422113ad8.jpg,val
datasets\train_on_2025_all\val\images\frame_00043_jpg.rf.b2ff059ec76db9faed5a510c1e481bbe.jpg,val
datasets\train_on_2025_all\val\images\frame_00044_jpg.rf.964abac006075081c6be7e3b85842dc4.jpg,val
datasets\train_on_2025_all\val\images\frame_00047_jpg.rf.433845c65c7fb3331ee9129330ba949d.jpg,val
