image_path,season,selection_order,distance_at_selection
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\val\images\GX010665_MP4-0217_jpg.rf.4bd57d75286e8e0e214a12be1b88193d.jpg,2025,1,3.4943982667154687
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\GX010665_MP4-0217_jpg.rf.368f015f501164054a4d9ab7714e14fe.jpg,2025,2,0.10342087520127846
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\val\images\GX010665_MP4-0217_jpg.rf.e2002a9318e1d506b8faadfbca58652a.jpg,2025,3,0.07130482262491351
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\val\images\GX010665_MP4-0216_jpg.rf.c85471c96f32f29a4552998a0bfef644.jpg,2025,4,1.3003212208598227
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\GX010665_MP4-0216_jpg.rf.ff97c32aad6a49aeb3da458d7e0d0698.jpg,2025,5,0.08018216045936677
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\val\images\GX010665_MP4-0216_jpg.rf.8a9ac800a2be00ba4a6db5a5cd5c6296.jpg,2025,6,0.057037646679982554
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\GX010665_MP4-0200_jpg.rf.1ec1782021a8fdb0d44954fcf9604ea1.jpg,2025,7,0.7214693912869511
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\GX010665_MP4-0200_jpg.rf.1510087345131349beb283e1722503cd.jpg,2025,8,0.0
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\GX010665_MP4-0200_jpg.rf.2a90c08cc055c9dec247650a33b8d67e.jpg,2025,9,0.03386005737198717
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\val\images\GX010665_MP4-0201_jpg.rf.f08237b7a1cd9471ca7e44e85896f4b2.jpg,2025,10,0.3513703208129388
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\GX010666_MP4-0178_jpg.rf.d552a067f5d78ef0949e2259b0a93d21.jpg,2025,11,4.749982060007878
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\frame_00052_jpg.rf.de6d9bc3a82476c22bbce64a3930a770.jpg,2025,12,3.6604964513256983
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\GX010664_MP4-0072_jpg.rf.03bb667b6766896dbc8ee38fc8495027.jpg,2025,13,3.1970494444429636
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\frame_00212_jpg.rf.1d1b2f52634e7452db6072bc283bc5cb.jpg,2025,14,3.019886892393774
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\GX010666_MP4-0318_jpg.rf.cc3401eab550f515237c4a149337f7c6.jpg,2025,15,2.8206676328569773
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\GX010666_MP4-0062_jpg.rf.390ecd914d57a1dc6adf9647627dd189.jpg,2025,16,2.6533343677510284
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\images\frame_00010_jpg.rf.d9527b21a602532451cfcef3b38f5782.jpg,2025,17,2.621747580807745
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_2025_all\val\images\frame_00134_jpg.rf.243ac01151e3061ea4ba5f8804f7db28.jpg,2025,18,2.600255633904512
