image_path,split
datasets\train_on_2025_all\val\images\frame_00003_jpg.rf.66e740d20d8ea52a0226c18aa5b1ee34.jpg,val
datasets\train_on_2025_all\val\images\frame_00021_jpg.rf.f1be329a07d7ab6c14a91b16d41cfb84.jpg,val
datasets\train_on_2025_all\val\images\frame_00032_jpg.rf.f51b4d759fb56cda0d27e431a37fd0c0.jpg,val
datasets\train_on_2025_all\val\images\frame_00034_jpg.rf.238e83c9c499f90ec13e5cc9489eaa3c.jpg,val
datasets\train_on_2025_all\val\images\frame_00039_jpg.rf.387e2b6eef7d94eddb15294e20daaab8.jpg,val
datasets\train_on_2025_all\val\images\frame_00045_jpg.rf.633fc43f449e325a7ecef2bc472084f6.jpg,val
datasets\train_on_2025_all\val\images\frame_00058_jpg.rf.fdc4e198f10067ef0b2deae150f72d2c.jpg,val
datasets\train_on_2025_all\val\images\frame_00068_jpg.rf.53869447b4c745ee7432a6edf5b090ba.jpg,val
datasets\train_on_2025_all\val\images\frame_00075_jpg.rf.e5142e81af4aae5293356e91a8365d7a.jpg,val
datasets\train_on_2025_all\val\images\frame_00079_jpg.rf.74df03ce577bc13cbf59df680c588789.jpg,val
datasets\train_on_2025_all\val\images\frame_00080_jpg.rf.70b2f556ecfbbb94ec89faaf34c0466b.jpg,val
datasets\train_on_2025_all\val\images\frame_00095_jpg.rf.6e6bb9618d6b2930ee5177c353f2da9d.jpg,val
datasets\train_on_2025_all\val\images\frame_00100_jpg.rf.f229830159f18399ac8bfb5fdc30373f.jpg,val
datasets\train_on_2025_all\val\images\frame_00101_jpg.rf.0aa0111fb0dc646713b263594df4cf3b.jpg,val
datasets\train_on_2025_all\val\images\frame_00106_jpg.rf.fbbbde5c567bfa9a849e5bbf1f854437.jpg,val
datasets\train_on_2025_all\val\images\frame_00113_jpg.rf.334176fe73e3c94e030f396e71e5135e.jpg,val
datasets\train_on_2025_all\val\images\frame_00121_jpg.rf.51862acc4c728dfd7d58a45a4b2a6815.jpg,val
