image_path,split
datasets\train_on_2025_all\val\images\frame_00041_jpg.rf.97cc81e54d6d7205b5896e3424d0179b.jpg,val
datasets\train_on_2025_all\val\images\frame_00074_jpg.rf.1011902a7f39134d66bdbf21fb027471.jpg,val
datasets\train_on_2025_all\val\images\frame_00098_jpg.rf.2875f06c9f1abbbb4ed076e62910d445.jpg,val
datasets\train_on_2025_all\val\images\frame_00108_jpg.rf.b2c7d0406b3c9fd3d23d5d921c71b825.jpg,val
datasets\train_on_2025_all\val\images\frame_00162_jpg.rf.7d9c85670b1dd9e517d058c275604a7a.jpg,val
datasets\train_on_2025_all\val\images\GX010664_MP4-0088_jpg.rf.18eccdaf532449a0e9abf6b83ae7c30c.jpg,val
datasets\train_on_2025_all\val\images\GX010665_MP4-0247_jpg.rf.98616224d4187937d215b2c866873117.jpg,val
datasets\train_on_2025_all\val\images\GX010665_MP4-0258_jpg.rf.a00c002979213abbf46660d816111f51.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0186_jpg.rf.31e7663c062d2414f79492f77174f4f8.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0195_jpg.rf.fe46d37526849cabda913d166ecb7ca8.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0223_jpg.rf.d7c54bf2e57e48b11a197876b7734c3e.jpg,val
datasets\train_on_2025_all\val\images\GX010667_MP4-0022_jpg.rf.af81ca00d654f5c694d1b62d10725715.jpg,val
datasets\train_on_2025_all\images\frame_00005_jpg.rf.39862fc3570999bcc7bcbb9d51c4f1fb.jpg,train
datasets\train_on_2025_all\images\frame_00010_jpg.rf.82212d4a8709b29090aff803358b1f18.jpg,train
datasets\train_on_2025_all\images\frame_00014_jpg.rf.aafbf3f9f4df4749b95fc1001d610c62.jpg,train
datasets\train_on_2025_all\images\frame_00016_jpg.rf.16e8915aa59422a8497316f6cf8b7692.jpg,train
datasets\train_on_2025_all\images\frame_00016_jpg.rf.b9ad6a710c349e2fca2f47b535a1b2f8.jpg,train
datasets\train_on_2025_all\images\frame_00017_jpg.rf.767a37d646b903457e2562af45bc3716.jpg,train
datasets\train_on_2025_all\images\frame_00018_jpg.rf.045654780a1929c8e3a9410683e00f56.jpg,train
datasets\train_on_2025_all\images\frame_00022_jpg.rf.f79b127961fa4f40fdd2f8c848f8c276.jpg,train
datasets\train_on_2025_all\images\frame_00026_jpg.rf.1796cb6440b58ae59c92da3a2b545c6f.jpg,train
datasets\train_on_2025_all\images\frame_00028_jpg.rf.c3e2488e8bfb2ba34a1c28408a87a3be.jpg,train
datasets\train_on_2025_all\images\frame_00034_jpg.rf.90cef8dc981f3d063c56155c3dda4df7.jpg,train
datasets\train_on_2025_all\images\frame_00039_jpg.rf.1c1783e6196710ccd061089079928dba.jpg,train
datasets\train_on_2025_all\images\frame_00051_jpg.rf.0547a45e5ccd2b55e42429352271e1a0.jpg,train
datasets\train_on_2025_all\images\frame_00072_jpg.rf.3652c6227a9c2200d48c2b9cf058e621.jpg,train
datasets\train_on_2025_all\images\frame_00147_jpg.rf.5b907ce3a8037501fcc47c0ec08f3da3.jpg,train
datasets\train_on_2025_all\images\GX010665_MP4-0063_jpg.rf.da4bc323a0e859b40c9429b44058013f.jpg,train
datasets\train_on_2025_all\images\GX010665_MP4-0135_jpg.rf.a67e59dabd6b23ef1153ed18978df9a4.jpg,train
datasets\train_on_2025_all\images\GX010665_MP4-0171_jpg.rf.aa668009e06093c7f5b679fa928ee84b.jpg,train
datasets\train_on_2025_all\images\GX010666_MP4-0191_jpg.rf.324cc4ef7acc4e585c61ae7e69123ac3.jpg,train
datasets\train_on_2025_all\images\GX010666_MP4-0312_jpg.rf.41a55ec393ce8c33e3ae958969a05685.jpg,train
