image_path,split
datasets\train_on_2025_all\val\images\frame_00003_jpg.rf.66e740d20d8ea52a0226c18aa5b1ee34.jpg,val
datasets\train_on_2025_all\val\images\frame_00004_jpg.rf.88a65a3b251ebff973f73b2782f22d3b.jpg,val
datasets\train_on_2025_all\val\images\frame_00005_jpg.rf.ee1ff3c5d2ae3129279fa10a4c898842.jpg,val
datasets\train_on_2025_all\val\images\frame_00007_jpg.rf.98b43a30c9d05e540703295926d96fa2.jpg,val
datasets\train_on_2025_all\val\images\frame_00009_jpg.rf.ae5b8f3b1ed4b46f6ad0d8b4d04c07c7.jpg,val
datasets\train_on_2025_all\val\images\frame_00011_jpg.rf.586fe9ab3171294332bc8ce0e6b1cb1a.jpg,val
datasets\train_on_2025_all\val\images\frame_00013_jpg.rf.de154efb15418cdd924e3d5402fe9577.jpg,val
datasets\train_on_2025_all\val\images\frame_00014_jpg.rf.bb3a45e97fffcb65e85d3fbf6148d297.jpg,val
datasets\train_on_2025_all\val\images\frame_00020_jpg.rf.8c2736fb75e3fc7f5086c995d4b83183.jpg,val
datasets\train_on_2025_all\val\images\frame_00020_jpg.rf.9edc81419102a5cb1aeb970896745745.jpg,val
datasets\train_on_2025_all\val\images\frame_00022_jpg.rf.7c6cfbb8e80256baaeee61abd7ab8c63.jpg,val
datasets\train_on_2025_all\val\images\frame_00026_jpg.rf.298c14c36184f9a4cb1ff4cb8030c3c5.jpg,val
datasets\train_on_2025_all\val\images\frame_00027_jpg.rf.c11b39d1349ea630db20f9376bcf3808.jpg,val
datasets\train_on_2025_all\val\images\frame_00028_jpg.rf.295d6758e9d4c5c240e8717c3a443b0f.jpg,val
datasets\train_on_2025_all\val\images\frame_00029_jpg.rf.3941c516f47e92f570c8b0348c8bb46b.jpg,val
datasets\train_on_2025_all\val\images\frame_00030_jpg.rf.3b4ff49d4f601b7babc9f08844f90c86.jpg,val
datasets\train_on_2025_all\val\images\frame_00032_jpg.rf.837aded9c5a628f1d1e1f52f6cff109a.jpg,val
datasets\train_on_2025_all\val\images\frame_00032_jpg.rf.f51b4d759fb56cda0d27e431a37fd0c0.jpg,val
datasets\train_on_2025_all\val\images\frame_00036_jpg.rf.891c05f42e72922b936efc76f130ebaf.jpg,val
datasets\train_on_2025_all\val\images\frame_00038_jpg.rf.156d4aeab70038ccdeedb8c2aa1ddbcd.jpg,val
datasets\train_on_2025_all\val\images\frame_00039_jpg.rf.70030802aadc30a609408af461aa5968.jpg,val
datasets\train_on_2025_all\val\images\frame_00042_jpg.rf.3f1ee8cc02886515309ec0ee5c7d23ba.jpg,val
datasets\train_on_2025_all\val\images\frame_00042_jpg.rf.c4fb7eecbc8dd41362e479f4359768dc.jpg,val
datasets\train_on_2025_all\val\images\frame_00044_jpg.rf.e6500204f4c000d304895fa93ace0318.jpg,val
datasets\train_on_2025_all\val\images\frame_00046_jpg.rf.667a47ae0bf23d6c5bfa622b17c0b6a3.jpg,val
datasets\train_on_2025_all\val\images\frame_00046_jpg.rf.756fd9d0c53212d4daf52adaab118ff7.jpg,val
datasets\train_on_2025_all\val\images\frame_00051_jpg.rf.94a6baeb03f3712098163f3a6e275923.jpg,val
datasets\train_on_2025_all\val\images\frame_00055_jpg.rf.17c9c4717ff187cb435daa8e2e4f867d.jpg,val
datasets\train_on_2025_all\val\images\frame_00064_jpg.rf.d25b3c6ce7f00a111d6af36ebd1795a7.jpg,val
datasets\train_on_2025_all\val\images\frame_00066_jpg.rf.096b9a36d1f8c669a7ca1f21e482993a.jpg,val
datasets\train_on_2025_all\val\images\frame_00066_jpg.rf.a3cde73d510c0b6d68b9d58f0db1d025.jpg,val
datasets\train_on_2025_all\val\images\frame_00069_jpg.rf.c31d2a2b480c1020d8d98b1cfbb31f4a.jpg,val
datasets\train_on_2025_all\val\images\frame_00070_jpg.rf.a1e7dbe5838c818508b5212c578bb8bd.jpg,val
datasets\train_on_2025_all\val\images\frame_00073_jpg.rf.a7526b3bbb79b7583431ecbd910fe907.jpg,val
datasets\train_on_2025_all\val\images\frame_00074_jpg.rf.728a64e28eb71b57c1ef8f1f7872c061.jpg,val
datasets\train_on_2025_all\val\images\frame_00075_jpg.rf.3c2e32a75dea5c0e61cc617dc90f123c.jpg,val
datasets\train_on_2025_all\val\images\frame_00079_jpg.rf.3bc488e5f2f464df45ab5324cffcb910.jpg,val
datasets\train_on_2025_all\val\images\frame_00079_jpg.rf.d073c9519221cd0932708db2c18bc540.jpg,val
datasets\train_on_2025_all\val\images\frame_00080_jpg.rf.0041c5c4c989c10c303e89a9ec24092c.jpg,val
datasets\train_on_2025_all\val\images\frame_00084_jpg.rf.ee045bc2f2fa1c10ca2e58f4f3fc8e40.jpg,val
datasets\train_on_2025_all\val\images\frame_00088_jpg.rf.5aba4656869e338f73535ca30ae7d507.jpg,val
datasets\train_on_2025_all\val\images\frame_00089_jpg.rf.c871ac0ade0b3596c0568865526ab8e4.jpg,val
datasets\train_on_2025_all\val\images\frame_00094_jpg.rf.5ef55d1da6c1b1d50fdabfa4631d4a71.jpg,val
datasets\train_on_2025_all\val\images\frame_00098_jpg.rf.2875f06c9f1abbbb4ed076e62910d445.jpg,val
datasets\train_on_2025_all\val\images\frame_00099_jpg.rf.09377e0177be384033bb7f6e63656693.jpg,val
datasets\train_on_2025_all\val\images\frame_00099_jpg.rf.8481008a27b03b2922758b953313cbf7.jpg,val
datasets\train_on_2025_all\val\images\frame_00100_jpg.rf.f229830159f18399ac8bfb5fdc30373f.jpg,val
datasets\train_on_2025_all\val\images\frame_00102_jpg.rf.e28f336421ee4a8591ed078277c99b8f.jpg,val
datasets\train_on_2025_all\val\images\frame_00104_jpg.rf.02145fc01d7ab1f9ed61037fbe0efe26.jpg,val
datasets\train_on_2025_all\val\images\frame_00116_jpg.rf.ade451a39da1ce8e63b72404d49e1517.jpg,val
datasets\train_on_2025_all\val\images\frame_00118_jpg.rf.4a54600ab4b174e81240dbadfdde41fb.jpg,val
datasets\train_on_2025_all\val\images\frame_00119_jpg.rf.ade6cfc25d5716b294234655d4f3c6bc.jpg,val
datasets\train_on_2025_all\val\images\frame_00122_jpg.rf.2d586d8ae0251d9d37560156e339edac.jpg,val
datasets\train_on_2025_all\val\images\frame_00132_jpg.rf.581e58ef53bbf64fbc0070a7cc42f6ef.jpg,val
datasets\train_on_2025_all\val\images\frame_00133_jpg.rf.9f27648e38d8c0eaf06364b450069d8a.jpg,val
datasets\train_on_2025_all\val\images\frame_00138_jpg.rf.264629fcdb2c71d636e717f4e765cdfc.jpg,val
datasets\train_on_2025_all\val\images\frame_00153_jpg.rf.06ab50cc7b88ee13cb64a262e3e52a36.jpg,val
datasets\train_on_2025_all\val\images\frame_00153_jpg.rf.da6ea8b251faaaaa15fd3f99ecde93d7.jpg,val
datasets\train_on_2025_all\val\images\frame_00155_jpg.rf.65b10faf8765e5753236bc40f87a060d.jpg,val
datasets\train_on_2025_all\val\images\frame_00160_jpg.rf.d0bccc74926f00fbbba892391b35654d.jpg,val
datasets\train_on_2025_all\val\images\frame_00162_jpg.rf.77e5f6b3e9088602a07c5e46df47b95d.jpg,val
datasets\train_on_2025_all\val\images\frame_00171_jpg.rf.7f406999f0aa8c786521b465b5620733.jpg,val
datasets\train_on_2025_all\val\images\frame_00204_jpg.rf.df2a8cfed71013deaf9a36116294ae1e.jpg,val
datasets\train_on_2025_all\val\images\frame_00215_jpg.rf.9864f0df39c1b743d9670ccf72b3f772.jpg,val
datasets\train_on_2025_all\val\images\GX010664_MP4-0024_jpg.rf.cad3a1f7291e7b19185c3424a9b7a7a4.jpg,val
datasets\train_on_2025_all\val\images\GX010664_MP4-0027_jpg.rf.5f8718f44188ce4277a73e163cda91c3.jpg,val
datasets\train_on_2025_all\val\images\GX010664_MP4-0042_jpg.rf.4cb03b364f179fdfc87ba63278171cb2.jpg,val
datasets\train_on_2025_all\val\images\GX010664_MP4-0044_jpg.rf.f47f23f73b4661be5cebe78a1fd9b7af.jpg,val
datasets\train_on_2025_all\val\images\GX010664_MP4-0052_jpg.rf.169be3f087e1756ed6297a8615b1b5c5.jpg,val
datasets\train_on_2025_all\val\images\GX010664_MP4-0059_jpg.rf.efc52da7042ebe72267de1f18b930db8.jpg,val
datasets\train_on_2025_all\val\images\GX010664_MP4-0061_jpg.rf.acb1d4ca69b7df99b7849bdbeb9eb42e.jpg,val
datasets\train_on_2025_all\val\images\GX010664_MP4-0068_jpg.rf.3fb4dacc98e0a4dd4187b56650c43a72.jpg,val
datasets\train_on_2025_all\val\images\GX010664_MP4-0070_jpg.rf.6351d87aaf52b0e77484587ce9af6e0c.jpg,val
datasets\train_on_2025_all\val\images\GX010664_MP4-0078_jpg.rf.e7451f1d8d4eb701f83a250ce81d4788.jpg,val
datasets\train_on_2025_all\val\images\GX010665_MP4-0023_jpg.rf.225f6777f4ce184f96f12aa2c17ca51f.jpg,val
datasets\train_on_2025_all\val\images\GX010665_MP4-0057_jpg.rf.c5ad8dd8aa8c0ff763f4af3d881ae057.jpg,val
datasets\train_on_2025_all\val\images\GX010665_MP4-0088_jpg.rf.d0e1067ed340a5059ccf59a73d7366c1.jpg,val
datasets\train_on_2025_all\val\images\GX010665_MP4-0091_jpg.rf.93a5f8704847156a04d344d5aaeceab9.jpg,val
datasets\train_on_2025_all\val\images\GX010665_MP4-0108_jpg.rf.5fe6fc3f438e32420992750d736dd8de.jpg,val
datasets\train_on_2025_all\val\images\GX010665_MP4-0112_jpg.rf.522599c368b90b249eb4c5cc0e82e090.jpg,val
datasets\train_on_2025_all\val\images\GX010665_MP4-0119_jpg.rf.5f1aa092febd98b62c66ae83ed4bc8fe.jpg,val
datasets\train_on_2025_all\val\images\GX010665_MP4-0129_jpg.rf.559c57886f5690dd45255de1c6b8867f.jpg,val
datasets\train_on_2025_all\val\images\GX010665_MP4-0130_jpg.rf.728bc198506fc41018b6b7e40531ce85.jpg,val
datasets\train_on_2025_all\val\images\GX010665_MP4-0136_jpg.rf.e7d4a096af4183113442395ffea99ebe.jpg,val
datasets\train_on_2025_all\val\images\GX010665_MP4-0137_jpg.rf.5716d652fe243567c028515163822762.jpg,val
datasets\train_on_2025_all\val\images\GX010665_MP4-0192_jpg.rf.bc2dcc643f68819e597a8772062d467d.jpg,val
datasets\train_on_2025_all\val\images\GX010665_MP4-0199_jpg.rf.fc9b041e2f1a850141e77df9b673ff6f.jpg,val
datasets\train_on_2025_all\val\images\GX010665_MP4-0201_jpg.rf.f08237b7a1cd9471ca7e44e85896f4b2.jpg,val
datasets\train_on_2025_all\val\images\GX010665_MP4-0240_jpg.rf.f8a3d3fb848bdffe0c2a9bb5577d6411.jpg,val
datasets\train_on_2025_all\val\images\GX010665_MP4-0266_jpg.rf.9f70e2c0d67e65e9c567d5ee87415e96.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0108_jpg.rf.364b0c5a4bc22fbe9c9013a109925b37.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0127_jpg.rf.4809416e338ac8a6bef404af0229bd8c.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0144_jpg.rf.5b830f43f156f27cfd2412098fbeec79.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0147_jpg.rf.cc48b4b5729e3b9b8a9ac25271ea748b.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0149_jpg.rf.96e877a9f790ebfb49ab547130b9fed5.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0155_jpg.rf.256b1969f38846a9684e88939ceeace4.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0156_jpg.rf.0e17e20b198a52cb4f51db6b3bc6a53c.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0171_jpg.rf.2dba5238f75cba194c34d51c6791ea50.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0186_jpg.rf.31e7663c062d2414f79492f77174f4f8.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0195_jpg.rf.740b72722b57e80ba923c6c39744cf1b.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0224_jpg.rf.8883413aba86bbaa66521e34b09574a0.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0225_jpg.rf.25cc779e7778969ebd2b9f36dbf9b061.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0232_jpg.rf.07b55b741bf904b558908a5192e572c7.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0240_jpg.rf.db1934df6c42edc55c9f7562e7d77d86.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0241_jpg.rf.f2c87f57841e8aff568f80765e507264.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0244_jpg.rf.c443041ed0911d8e6d5997af10a601f6.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0246_jpg.rf.606d6e0e881f2bc93c3a30d7813e9a96.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0255_jpg.rf.ec0bf8a7a8212981ecfed1ce5e70d57e.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0255_jpg.rf.fc7453263367406d66dd73428343cac6.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0257_jpg.rf.6287f0226bf082fbee4a6e51b41d175a.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0260_jpg.rf.c20bae429f4e851dca8ec3a235c0640b.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0263_jpg.rf.214f4cbcb626116ca34c0d49d6452224.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0268_jpg.rf.f283bddb7dd5be2858a4530a101edc16.jpg,val
