image_path,basename,carapace_px,total_px,bbox_area_px,orientation_deg,label_found
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_100_1575-jpg_gamma_jpg.rf.25d59f73966a83bce9ecc63d18c4e490.jpg,GX010065_100_1575-jpg_gamma_jpg.rf.25d59f73966a83bce9ecc63d18c4e490.jpg,1109.6695214236108,530.6567466343782,4331.25,233.7971091719427,True
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_100_1575-jpg_gamma_jpg.rf.38f5a8656f8d3b3f9ea2fac383ca0ed2.jpg,GX010065_100_1575-jpg_gamma_jpg.rf.38f5a8656f8d3b3f9ea2fac383ca0ed2.jpg,1109.6695214236108,530.6567466343782,4331.25,233.7971091719427,True
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_100_1575-jpg_gamma_jpg.rf.4c1daa17c534df73726f184ffab7b9d7.jpg,GX010065_100_1575-jpg_gamma_jpg.rf.4c1daa17c534df73726f184ffab7b9d7.jpg,1109.6695214236108,530.6567466343782,4331.25,233.7971091719427,True
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_101_1589-jpg_gamma_jpg.rf.f569bdc1bbd202b0e27af457db2515d1.jpg,GX010065_101_1589-jpg_gamma_jpg.rf.f569bdc1bbd202b0e27af457db2515d1.jpg,991.5657316288934,468.8411419840634,3410.0,245.69251851837365,True
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_101_1589-jpg_gamma_jpg.rf.fc6655d238247dafae37c1754deac4cd.jpg,GX010065_101_1589-jpg_gamma_jpg.rf.fc6655d238247dafae37c1754deac4cd.jpg,991.5657316288934,468.8411419840634,3410.0,245.69251851837365,True
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_102_1623-jpg_gamma_jpg.rf.178de9ce195060446cab859ceabc7596.jpg,GX010065_102_1623-jpg_gamma_jpg.rf.178de9ce195060446cab859ceabc7596.jpg,721.5689211547876,746.0904760540049,4797.5,302.6948598925111,True
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_102_1623-jpg_gamma_jpg.rf.6e8658a80509668ace462fe16368420c.jpg,GX010065_102_1623-jpg_gamma_jpg.rf.6e8658a80509668ace462fe16368420c.jpg,721.5689211547876,746.0904760540049,4797.5,302.6948598925111,True
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_103_1656-jpg_gamma_jpg.rf.7a1042006067e858e8c7f6d49273d0f9.jpg,GX010065_103_1656-jpg_gamma_jpg.rf.7a1042006067e858e8c7f6d49273d0f9.jpg,724.3290301839937,630.3699925472182,4091.5,296.3775805720646,True
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_103_1656-jpg_gamma_jpg.rf.ad563c9d92e688622a05e342126cd326.jpg,GX010065_103_1656-jpg_gamma_jpg.rf.ad563c9d92e688622a05e342126cd326.jpg,724.3290301839937,630.3699925472182,4091.5,296.3775805720646,True
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_103_1656-jpg_gamma_jpg.rf.c0dce349d8c2ed01b04f0fbcfe114650.jpg,GX010065_103_1656-jpg_gamma_jpg.rf.c0dce349d8c2ed01b04f0fbcfe114650.jpg,724.3290301839937,630.3699925472182,4091.5,296.3775805720646,True
