image_path,split
datasets\train_on_2025_all\val\images\frame_00012_jpg.rf.1c83794e43e25b69d5cb3455710aa78f.jpg,val
datasets\train_on_2025_all\val\images\frame_00023_jpg.rf.653672710b04ab9e9b1d453db06954f8.jpg,val
datasets\train_on_2025_all\val\images\frame_00030_jpg.rf.8c42e651a39837097e313864fbe724f0.jpg,val
datasets\train_on_2025_all\val\images\frame_00034_jpg.rf.238e83c9c499f90ec13e5cc9489eaa3c.jpg,val
datasets\train_on_2025_all\val\images\frame_00040_jpg.rf.ae7ba2eb3702ebcbcf954db422113ad8.jpg,val
datasets\train_on_2025_all\val\images\frame_00043_jpg.rf.d9b5b2b1f5eac35ae015852337221329.jpg,val
datasets\train_on_2025_all\val\images\frame_00052_jpg.rf.580ac9a238114c53e24ff9dfe438e040.jpg,val
datasets\train_on_2025_all\val\images\frame_00054_jpg.rf.14806f5143f40ef1029e6297701c8601.jpg,val
datasets\train_on_2025_all\val\images\frame_00084_jpg.rf.b39031b486a9fd4e52e1faac9dc452ec.jpg,val
datasets\train_on_2025_all\val\images\frame_00092_jpg.rf.ef54d42de7731e1528fa8cd77853b7e1.jpg,val
datasets\train_on_2025_all\val\images\frame_00094_jpg.rf.5ef55d1da6c1b1d50fdabfa4631d4a71.jpg,val
datasets\train_on_2025_all\val\images\frame_00098_jpg.rf.13659912a3fad261bec4e2fec536937d.jpg,val
datasets\train_on_2025_all\val\images\frame_00100_jpg.rf.1dceade3ea5c88ff380fc0a0c08d5670.jpg,val
datasets\train_on_2025_all\val\images\frame_00103_jpg.rf.dcfa70e447e8251d8853370424fd173b.jpg,val
datasets\train_on_2025_all\val\images\frame_00104_jpg.rf.02145fc01d7ab1f9ed61037fbe0efe26.jpg,val
datasets\train_on_2025_all\val\images\frame_00113_jpg.rf.334176fe73e3c94e030f396e71e5135e.jpg,val
datasets\train_on_2025_all\val\images\frame_00115_jpg.rf.9040928b303879825f28282e64ac9442.jpg,val
datasets\train_on_2025_all\val\images\frame_00118_jpg.rf.0f4ceb04f723eccd1f97fa68b7c3cfc2.jpg,val
datasets\train_on_2025_all\val\images\frame_00137_jpg.rf.b873662714718083f0d0b8b1a9f9ff52.jpg,val
datasets\train_on_2025_all\val\images\frame_00138_jpg.rf.6b3cc9f4f6e87d758b7909dad954b389.jpg,val
datasets\train_on_2025_all\val\images\frame_00160_jpg.rf.d0bccc74926f00fbbba892391b35654d.jpg,val
datasets\train_on_2025_all\val\images\frame_00218_jpg.rf.6f599dc6d78396ca8375e58f8940bf6d.jpg,val
datasets\train_on_2025_all\val\images\GX010664_MP4-0024_jpg.rf.cad3a1f7291e7b19185c3424a9b7a7a4.jpg,val
datasets\train_on_2025_all\val\images\GX010664_MP4-0101_jpg.rf.b392e33b090c412a1bd3d16fc896ff07.jpg,val
datasets\train_on_2025_all\val\images\GX010665_MP4-0012_jpg.rf.64d04998d1e1812f48cc368919b5ff2b.jpg,val
datasets\train_on_2025_all\val\images\GX010665_MP4-0058_jpg.rf.15a6bf79fba796428afa4b6a5beeb9a0.jpg,val
datasets\train_on_2025_all\val\images\GX010665_MP4-0216_jpg.rf.c85471c96f32f29a4552998a0bfef644.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0146_jpg.rf.c3a1096233e7935c7229add69126ae95.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0156_jpg.rf.0e17e20b198a52cb4f51db6b3bc6a53c.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0213_jpg.rf.cfbe10d69e6c8ea5709ca2de5a31729a.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0240_jpg.rf.d570fd1c3baf0fc285f0cb023a838bfb.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0241_jpg.rf.f2c87f57841e8aff568f80765e507264.jpg,val
datasets\train_on_2025_all\val\images\GX010666_MP4-0263_jpg.rf.9e58a5e1a95279fe77c09fea88486d0d.jpg,val
datasets\train_on_2025_all\val\images\GX010667_MP4-0035_jpg.rf.3aa452c0839ec541b26da4f2099e24b1.jpg,val
datasets\train_on_2025_all\images\frame_00003_jpg.rf.b6c0410e93749729dfb7ee0391ac5426.jpg,train
datasets\train_on_2025_all\images\frame_00005_jpg.rf.036a737ef8862a76891fa078924bebd0.jpg,train
datasets\train_on_2025_all\images\frame_00007_jpg.rf.b8aa26a7fa4db5f6deaf11a15cf1b867.jpg,train
datasets\train_on_2025_all\images\frame_00011_jpg.rf.b66e39b2805515df290d32ae4e69c027.jpg,train
datasets\train_on_2025_all\images\frame_00012_jpg.rf.11ed1fc12ec2f8b018b48bfe25c17968.jpg,train
datasets\train_on_2025_all\images\frame_00013_jpg.rf.2293b7358d448393725953de5a24f690.jpg,train
datasets\train_on_2025_all\images\frame_00013_jpg.rf.ac522859c488f77bc01bbd9ddf6874a5.jpg,train
datasets\train_on_2025_all\images\frame_00015_jpg.rf.6a773fa8d4718b2424325a1ef0685270.jpg,train
datasets\train_on_2025_all\images\frame_00017_jpg.rf.5e70a891dec4cf0ae0e286694c630b0c.jpg,train
datasets\train_on_2025_all\images\frame_00020_jpg.rf.b980c2cc7dfe6781f06df891a2432cb9.jpg,train
datasets\train_on_2025_all\images\frame_00025_jpg.rf.a4b644fa4b6e683f7bbfef5b0dfc3e3e.jpg,train
datasets\train_on_2025_all\images\frame_00025_jpg.rf.b66601b1125282fd3d6fbe1e502ed3f9.jpg,train
datasets\train_on_2025_all\images\frame_00028_jpg.rf.be76e7ad97e7b9dc5fa5f5b011bb2f33.jpg,train
datasets\train_on_2025_all\images\frame_00028_jpg.rf.c3e2488e8bfb2ba34a1c28408a87a3be.jpg,train
datasets\train_on_2025_all\images\frame_00029_jpg.rf.5b3c0945cd90cd8f81ddd51bc50015d5.jpg,train
datasets\train_on_2025_all\images\frame_00030_jpg.rf.61b1899f49b3fef74c26b165c45465d2.jpg,train
datasets\train_on_2025_all\images\frame_00031_jpg.rf.b6132af0dcdfbb0294f1f16a336b37a4.jpg,train
datasets\train_on_2025_all\images\frame_00035_jpg.rf.dfc02acd38d775396b06d50bcb0a057a.jpg,train
