image_path,selection_order,distance_at_selection
datasets/train_on_2025_all\val\images\frame_00069_jpg.rf.c31d2a2b480c1020d8d98b1cfbb31f4a.jpg,1,0.8907334234028869
datasets/train_on_2025_all\images\GX010665_MP4-0200_jpg.rf.1510087345131349beb283e1722503cd.jpg,2,0.7424050493354983
datasets/train_on_2025_all\images\GX010666_MP4-0169_jpg.rf.9d6d0ef80e13c150669e0e47ae7f610f.jpg,3,0.6838092220655245
datasets/train_on_2025_all\val\images\GX010664_MP4-0037_jpg.rf.c0ebdfe95dad9732fdb71d744b24d7a3.jpg,4,0.6068883478360657
datasets/train_on_2025_all\images\GX010666_MP4-0249_jpg.rf.c4c26ed2d166b9deb9fc31d15581dc69.jpg,5,0.6050023343010916
datasets/train_on_2025_all\images\GX010666_MP4-0318_jpg.rf.9afde6c6ff8161c779b7aa014c630577.jpg,6,0.5846544752214508
datasets/train_on_2025_all\images\frame_00020_jpg.rf.d16cd44a8b1e63f465829c720fd37489.jpg,7,0.5616678204551523
datasets/train_on_2025_all\images\frame_00024_jpg.rf.2b73d46449ce50985da63754fb793f49.jpg,8,0.5274425323363506
datasets/train_on_2025_all\images\GX010666_MP4-0023_jpg.rf.c4503222feffe11366cec7c3faf0e871.jpg,9,0.5184277572730476
datasets/train_on_2025_all\images\frame_00086_jpg.rf.38d25f6e9238641c8f3f68a1dcd0feba.jpg,10,0.5150337142856305
datasets/train_on_2025_all\images\frame_00052_jpg.rf.de6d9bc3a82476c22bbce64a3930a770.jpg,11,0.5013749488985849
datasets/train_on_2025_all\images\frame_00079_jpg.rf.b172400bbe24d9234b12f6e2e4a91065.jpg,12,0.49485510560343504
datasets/train_on_2025_all\images\GX010665_MP4-0252_jpg.rf.cc9fc3f13f65ab6676a8a8664c6f40f0.jpg,13,0.4914068872338288
datasets/train_on_2025_all\images\frame_00210_jpg.rf.bb206c1c559e0a4a8438cbc3f723d3bb.jpg,14,0.48638185135194123
datasets/train_on_2025_all\images\GX010666_MP4-0131_jpg.rf.8738a4b1d43250099d4594a372bb4d9a.jpg,15,0.47971437626396435
datasets/train_on_2025_all\images\frame_00138_jpg.rf.df1dc8b2093db768918f09d7b2682aea.jpg,16,0.47773821917088843
datasets/train_on_2025_all\val\images\frame_00087_jpg.rf.2273da68fbc6530498bbf110cf5cf414.jpg,17,0.47728159999890774
datasets/train_on_2025_all\images\frame_00054_jpg.rf.f42679ee50b530d37c29aea222eb2f17.jpg,18,0.4771220501082005
datasets/train_on_2025_all\images\GX010665_MP4-0138_jpg.rf.e0a496e1cf85b79b34be129f00e8e738.jpg,19,0.4688868458751815
datasets/train_on_2025_all\images\frame_00063_jpg.rf.d8ec640f728839c3a5273bd262498b22.jpg,20,0.46736978226085524
datasets/train_on_2025_all\images\frame_00009_jpg.rf.af500b7865630015723c330f6e8d729c.jpg,21,0.46383943974395636
datasets/train_on_2025_all\images\frame_00131_jpg.rf.59a8dac1587397447cd4b291090fd993.jpg,22,0.46184190734730435
datasets/train_on_2025_all\images\GX010664_MP4-0097_jpg.rf.75e32ff5f5f4dc8e8fe9139a52247baa.jpg,23,0.4599255408135024
datasets/train_on_2025_all\images\frame_00038_jpg.rf.cd631779af27d05901ffa3119b5f71a2.jpg,24,0.45893135509693495
datasets/train_on_2025_all\images\GX010666_MP4-0306_jpg.rf.86fa0ac0caf195213ce0fae4faa896ea.jpg,25,0.457908180703261
datasets/train_on_2025_all\images\frame_00028_jpg.rf.a9c8982d759de51215ab42a52bfd77ac.jpg,26,0.4532669650060243
datasets/train_on_2025_all\images\frame_00093_jpg.rf.ef88df0205a9e04078fbea973180aabb.jpg,27,0.45127371970622604
datasets/train_on_2025_all\val\images\frame_00082_jpg.rf.5d9e33906fe0b5057e57cff10c44573d.jpg,28,0.4487745805076453
datasets/train_on_2025_all\val\images\frame_00022_jpg.rf.065eb516b074d3d3f970d92b5bc8e3a4.jpg,29,0.4444031556281896
datasets/train_on_2025_all\images\frame_00007_jpg.rf.c9c871e0ba4d59f0c64afca3615e4b5e.jpg,30,0.44381240687594736
datasets/train_on_2025_all\images\GX010665_MP4-0112_jpg.rf.b8b48ea4dbbbf1e55cd6400e8601181b.jpg,31,0.4434292772687285
datasets/train_on_2025_all\images\frame_00108_jpg.rf.75a6d29f4ca6297ddb6dc68469f61cf7.jpg,32,0.44061912117434343
datasets/train_on_2025_all\images\frame_00160_jpg.rf.84e0fd1b2b3f31059a50f3e0ef97b8c6.jpg,33,0.43921733245830313
